GameName,GameTypeId,Images,Operator/Code,ProviderId
Mariachi Mayhem,Slots,https://casino.draftkings.com/static/games/DraftKings/a7b887ac-e0dd-4aeb-89b9-07c64120a29f/dkmariachimayhemsquareblack.png,DK,DraftKings
Celtic Gold,Slots,https://casino.draftkings.com/static/games/DraftKings/378f4faa-76c8-4060-a295-cf14f5303c5d/CelticGold_square_HD_1736524989071.jpg,DK,DraftKings
Gold Roll,Slots,https://casino.draftkings.com/static/games/DraftKings/bf443967-988f-4d1d-9069-b173802bb87f/goldRoll_square_HD_1736777544192.jpg,DK,DraftKings
Hippie Chicks,Slots,https://casino.draftkings.com/static/games/DraftKings/1d4ac200-12f4-4a07-8f2f-eb51f609a2e1/dkhippiechickssquare.png,DK,DraftKings
Witch of the West,Slots,https://casino.draftkings.com/static/games/DraftKings/936d75fc-7452-4202-8d86-12c3239861cb/dkwitchofthewestsquare.png,DK,DraftKings
Dollar UP! Diamonds,Slots,https://casino.draftkings.com/static/games/DraftKings/33a66542-099b-4fbb-80fb-526129c32f31/DimaondsDollarUp_square_1748357967361.jpg,DK,DraftKings
Playboy Cash Nights,Slots,https://casino.draftkings.com/static/games/DraftKings/ba623f5c-8236-4582-b972-fc6e88869080/PBcashNights_square_1741905040641.jpg,DK,DraftKings
The Elephant Gang,Slots,https://casino.draftkings.com/static/games/DraftKings/704fd0dd-ad28-4a84-8692-fdd998ef670b/elephant_square.jpg,DK,DraftKings
Twiggy's Coconut,Slots,https://casino.draftkings.com/static/games/DraftKings/117ccac2-6028-4d94-851f-47d34dd5ac8f/twiggy_square_1756921545582.jpg,DK,DraftKings
Spinner Spinner Holiday Winner,Slots,https://casino.draftkings.com/static/games/DraftKings/ef1e6b44-7e23-48d0-8aee-29d9685baa30/SSHW_square_1734914841114.jpg,DK,DraftKings
Sauce Boss BBQ,Slots,https://casino.draftkings.com/static/games/DraftKings/3be58c40-a656-4cbb-80ed-2a74f743dec1/Sauce Boss BBQ_1745849802315.jpg,DK,DraftKings
Dollar UP! Fortunes,Slots,https://casino.draftkings.com/static/games/DraftKings/78693fb1-1fb4-4235-ac17-625cc40a2e0b/FortunesDollarUp_square_1741904712190.jpg,DK,DraftKings
Digits,Slots,https://casino.draftkings.com/static/games/DraftKings/71f34346-efa1-482b-afc1-88f5cb42184f/Digits_HighLimit_SquareTile_1761054659649.jpg,DK,DraftKings
Balloon,Slots,https://casino.draftkings.com/static/games/DraftKings/b21a87cd-9fe4-45a1-9d49-8b1dd2032b7a/Balloon_HighLimit_SquareTile_1752250929834.png,DK,DraftKings
Digits,Slots,https://casino.draftkings.com/static/games/DraftKings/ab46f24d-cccb-4038-8004-25f82301abcd/digits_square_1743034483382.jpg,DK,DraftKings
Balloon,Slots,https://casino.draftkings.com/static/games/DraftKings/71387977-b2e7-436f-b0cc-2739bad5ad19/balloon_square_1747350306591.jpg,DK,DraftKings
Hop It - Cavern Crossing,Slots,https://casino.draftkings.com/static/games/DraftKings/bb6ba93c-615d-44d3-b60a-6b7129063905/cavernCrossing_square_HD_1733152584968.jpg,DK,DraftKings
Cash Engine,Slots,https://casino.draftkings.com/static/games/DraftKings/357e036e-faaf-4a8e-9a62-5421e67bb110/cashEngine_square_1736181512397.jpg,DK,DraftKings
Neptune Waves of Wonder,Slots,https://casino.draftkings.com/static/games/DraftKings/a988c64e-25a4-43c1-8898-c5ea96e7ee43/neptune_square_1745360273705.jpg,DK,DraftKings
Beat Uncle Sam,Slots,https://casino.draftkings.com/static/games/DraftKings/40a3bdea-a51c-4e27-a5b4-63bcbaee44af/BeatUncleSam_square_1741904258280.jpg,DK,DraftKings
Fa Cai Fortunes,Slots,https://casino.draftkings.com/static/games/DraftKings/3b74b6db-f859-4951-ba3b-ed47b89b613b/FCF_square_1737586927604.jpg,DK,DraftKings
Playboy Diamonds,Slots,https://casino.draftkings.com/static/games/DraftKings/b4ce3d8b-5aaf-4143-808f-67dcb1bfd81d/playboyDiamonds_square_1745360415095.jpg,DK,DraftKings
Just Kitten Around,Slots,https://casino.draftkings.com/static/games/DraftKings/a9aaa93a-8709-4cbd-8d38-fab4a8d6d51f/justKittenAround_square_1745359831501.jpg,DK,DraftKings
Spinner Spinner Chicken Dinner,Slots,https://casino.draftkings.com/static/games/DraftKings/97ee0237-930a-4b66-a8bc-907e4ab310f0/spinnerSpinner_square.jpg,DK,DraftKings
2 Tribes,Slots,https://casino.draftkings.com/static/games/DraftKings/5f5e215f-d79b-4301-8df2-2fa7b9bb4860/2Tribes.jpg,DK,DraftKings
Dollar UP!,Slots,https://casino.draftkings.com/static/games/DraftKings/c5e06aef-937f-4636-b08f-74ab43cc046a/DollarUp_HighLimit_SquareTile_1753475046907.jpg,DK,DraftKings
Cash Engine America,Slots,https://casino.draftkings.com/static/games/DraftKings/f6b8fcf7-6188-43c7-8cc9-33653e27d7e4/Cash Engine America_1745849382140.png,DK,DraftKings
Big Rhino,Slots,https://casino.draftkings.com/static/games/DraftKings/586afa6a-a1a6-45a5-b5a5-747b340e5e53/bigRhino_square_1741904465911.jpg,DK,DraftKings
Loki's Luck,Slots,https://casino.draftkings.com/static/games/DraftKings/a3b0b32d-5516-4a5f-86b3-f7bb2bbda38c/loki_square_1745359930945.jpg,DK,DraftKings
MINES,Slots,https://casino.draftkings.com/static/games/DraftKings/42124e07-2889-4213-8e4c-f2bccd050d10/MINES_square_1753369699423.jpg,DK,DraftKings
Digits NOW,Slots,https://casino.draftkings.com/static/games/DraftKings/c4d02aa7-ab9d-4d94-b59a-00dd5c28e1e2/digitsNOW_square_HD_1730395585656.png,DK,DraftKings
Quakey Shakey,Slots,https://casino.draftkings.com/static/games/DraftKings/73a00c72-2b40-4a9d-ba54-799f8c9d5386/quakeyShakey_square (1).jpg,DK,DraftKings
Reel Wheel Pride,Slots,https://casino.draftkings.com/static/games/DraftKings/6498bfe5-b9d8-4278-9c45-0dfa109be156/reelWheelPride_square.jpg,DK,DraftKings
American Treasures,Slots,https://casino.draftkings.com/static/games/DraftKings/a423d4ed-b21e-4ee2-8cd7-bcbe4a5899f3/American Treasures_1745849292469.jpg,DK,DraftKings
Coin Connect,Slots,https://casino.draftkings.com/static/games/DraftKings/3dd21797-730b-4a1d-9591-e9cca11b61c7/coinConnect_square_1742916142435.jpg,DK,DraftKings
Ball Drop,Slots,https://casino.draftkings.com/static/games/DraftKings/14e51bb3-aa86-4fa2-bd59-e9f8151083c4/ballDrop_square_1751989554111.jpg,DK,DraftKings
MINES,Slots,https://casino.draftkings.com/static/games/DraftKings/4568d397-bc8a-414a-b520-02ec845d4163/Mines_HighLimit_SquareTile_1753476773540.png,DK,DraftKings
Lucky Linko,Slots,https://casino.draftkings.com/static/games/DraftKings/0876c993-9c82-4c7c-abbc-dfcee6157f2d/LuckyLinko_square_HD_1736433324897.jpg,DK,DraftKings
Gold Roll,Slots,https://casino.draftkings.com/static/games/DraftKings/3f4737ed-58a5-4af4-9f23-8665a34334a3/GoldRoll_HighLimit_SquareTile_1753130735217.png,DK,DraftKings
Dollar UP!,Slots,https://casino.draftkings.com/static/games/DraftKings/2fb13650-cacf-4e57-8e47-d82dd83f01f0/dollarUp_square_1745359646718.jpg,DK,DraftKings
Dragon Coin Connect,Slots,https://casino.draftkings.com/static/games/DraftKings/fbe52f2f-57ac-49cf-a6e5-fdc1f15cdc88/DCC_square_1752012070245.jpg,DK,DraftKings
Hop It & Profit,Slots,https://casino.draftkings.com/static/games/DraftKings/40d300b0-1724-453e-a668-5a1cb33a7544/hopItAndProfit_square_1745359731931.jpg,DK,DraftKings
Dig!,Slots,https://casino.draftkings.com/static/games/DraftKings/4d810b46-4e65-41d3-b79b-b61bd0aa3281/dig_square_HD_1736433532406.jpg,DK,DraftKings
Christmas Dollar Up!,Slots,https://casino.draftkings.com/static/games/DraftKings/4066df47-22be-452b-ba81-cd3c3ed9c3c0/christmasDollarUp_square_1737643095243.jpg,DK,DraftKings
Cash Engine Deluxe,Slots,https://casino.draftkings.com/static/games/DraftKings/6774b9d5-569c-4b7d-b7b1-867b2c7aec2a/CED_square (2).jpg,DK,DraftKings
Hop It & Profit,Slots,https://casino.draftkings.com/static/games/DraftKings/2606fe87-7bcd-4499-bbfd-f11dbbff3b6a/HopIt&Profit_HighLimit_SquareTile_1753125875315.png,DK,DraftKings
Reel Wheel Cash Deal,Slots,https://casino.draftkings.com/static/games/DraftKings/eeb294a1-241d-4e96-9214-61d23ccbc129/Reel Wheel Cash Deal_1745849775506.jpg,DK,DraftKings
Light Racers,Slots,https://casino.draftkings.com/static/games/DraftKings/97b6d2f2-2578-49d4-8352-91c506a46cdc/dklightracerssquare.png,DK,DraftKings
